"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "Markdown", "XML", "TypeScript JSX", "MS SQL", "CSS", "comment", "blank", "total"
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\components\sell\SellForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 9, 140
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\components\signup\SignupForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 5, 63
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\lib\database\createCartTable.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\lib\database\createProductsTable.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\lib\database\createWishlistTable.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\lib\database\db.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 2, 26
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\lib\db\mongodb\connectdb.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\lib\db\pgsql\connectdb.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\types\index.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 5, 47
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\tsconfig.json", "JSON with Comments", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"Total", "-", 8916, 28, 634, 211, 0, 37, 2836, 24, 70, 94, 399, 13249
